surface,penalty,epochs,time_sec,reconstruction_mean,reconstruction_std,tangent_mean,tangent_std,encoder contr_mean,encoder contr_std,decoder contr_mean,decoder contr_std,diffeo_mean,diffeo_std,curvature_mean,curvature_std,hessian_mean,hessian_std,weight_tangent_bundle,weight_contractive,weight_normal_decoder_jacobian,weight_decoder_contraction,weight_diffeo,weight_curvature
paraboloid,baseline,500,8.65093994140625,0.011161528527736664,0.021422211080789566,0.013753901235759258,0.016096515581011772,1.1632106304168701,0.33305230736732483,4.248672962188721,0.6715342998504639,0.14255006611347198,0.19334374368190765,0.4251541495323181,0.678600013256073,3.979897975921631,3.8956873416900635,0.0,0.0,0.0,0.0,0.0,0.0
paraboloid,T,500,12.308233737945557,0.01359618455171585,0.019656145945191383,0.004254883620887995,0.005777955986559391,1.1566816568374634,0.38303157687187195,4.510966777801514,0.8066083192825317,0.16094215214252472,0.21864186227321625,0.054989252239465714,0.09778539091348648,2.443591356277466,1.947299838066101,1.0,0.0,0.0,0.0,0.0,0.0
paraboloid,C,500,11.043428897857666,0.00944675412029028,0.01776944100856781,0.016551226377487183,0.015450356528162956,1.0485554933547974,0.27178314328193665,4.41214656829834,0.6361730694770813,0.12075986713171005,0.17346808314323425,0.38804349303245544,0.6046739816665649,4.329774856567383,4.228825092315674,0.0,0.01,0.0,0.0,0.0,0.0
paraboloid,T+C,500,17.035062551498413,0.010383881628513336,0.016076724976301193,0.0026493514887988567,0.004094118718057871,1.045562982559204,0.3098026514053345,4.856603145599365,0.8718412518501282,0.13059942424297333,0.18576347827911377,0.044760849326848984,0.08083825558423996,2.7594356536865234,1.9638489484786987,1.0,0.01,0.0,0.0,0.0,0.0
paraboloid,N,500,11.38625454902649,0.010599198751151562,0.02069215103983879,0.012106810696423054,0.015309215523302555,1.166320562362671,0.33774420619010925,4.246662616729736,0.6485266089439392,0.14168544113636017,0.19417636096477509,0.36111629009246826,0.6189914345741272,3.799199342727661,3.6504480838775635,0.0,0.0,0.01,0.0,0.0,0.0
paraboloid,T+N,500,11.450538873672485,0.013514245860278606,0.019780108705163002,0.004237173590809107,0.005774598103016615,1.158882975578308,0.38621091842651367,4.4885406494140625,0.8024412989616394,0.16263069212436676,0.22065386176109314,0.056602392345666885,0.10681670904159546,2.4344167709350586,1.940783143043518,1.0,0.0,0.01,0.0,0.0,0.0
paraboloid,C+N,500,13.806360960006714,0.008868024684488773,0.016420181840658188,0.013888807035982609,0.015203787945210934,1.0427141189575195,0.27547553181648254,4.444297790527344,0.6111729145050049,0.11482681334018707,0.1726323813199997,0.28795430064201355,0.5171840190887451,4.096662998199463,3.867130994796753,0.0,0.01,0.01,0.0,0.0,0.0
paraboloid,T+C+N,500,15.338189363479614,0.011059102602303028,0.0155567592009902,0.00300306873396039,0.0044192043133080006,1.0530418157577515,0.316497266292572,4.825256824493408,0.8695076704025269,0.13479869067668915,0.19014446437358856,0.049842409789562225,0.10129545629024506,2.7502708435058594,1.9682211875915527,1.0,0.01,0.01,0.0,0.0,0.0
paraboloid,D,500,9.974951267242432,0.02338879369199276,0.03950224071741104,0.022380227223038673,0.028071431443095207,1.326791763305664,0.5744126439094543,2.923687696456909,0.4609528183937073,0.32072997093200684,0.3486795723438263,0.2639552652835846,0.3848479688167572,4.159060001373291,3.6854794025421143,0.0,0.0,0.0,0.01,0.0,0.0
paraboloid,T+D,500,11.728828191757202,0.020381063222885132,0.03544572368264198,0.002476827008649707,0.003952490631490946,1.3328300714492798,0.5915634632110596,3.0510804653167725,0.48812511563301086,0.30516934394836426,0.34472349286079407,0.3562498390674591,0.9602538347244263,3.038522720336914,2.6900501251220703,1.0,0.0,0.0,0.01,0.0,0.0
paraboloid,C+D,500,15.292630434036255,0.020423078909516335,0.0343165323138237,0.02125813625752926,0.02373535744845867,1.2152646780014038,0.5073306560516357,3.0105106830596924,0.45686039328575134,0.2942209243774414,0.3256740868091583,0.23250138759613037,0.39116421341896057,4.291755199432373,4.012381076812744,0.0,0.01,0.0,0.01,0.0,0.0
paraboloid,T+C+D,500,15.28276252746582,0.018204908818006516,0.03164457157254219,0.0025479744654148817,0.0037746941670775414,1.253067135810852,0.530792236328125,3.1764159202575684,0.5210994482040405,0.2803419232368469,0.3232647776603699,0.3817557394504547,1.1044790744781494,3.0909225940704346,2.7335872650146484,1.0,0.01,0.0,0.01,0.0,0.0
paraboloid,N+D,500,10.638190984725952,0.02334641106426716,0.03982336446642876,0.020100818946957588,0.02516455203294754,1.3317078351974487,0.5782843232154846,2.9086503982543945,0.44479772448539734,0.3216911256313324,0.35036420822143555,0.24559307098388672,0.3789530396461487,4.1495771408081055,3.645761728286743,0.0,0.0,0.01,0.01,0.0,0.0
paraboloid,T+N+D,500,12.17382025718689,0.020417194813489914,0.0355428121984005,0.0024775255005806684,0.003960661590099335,1.333665370941162,0.5924435257911682,3.0478675365448,0.4869157671928406,0.30560898780822754,0.3451295495033264,0.3588261902332306,0.9686650633811951,3.040034294128418,2.6852314472198486,1.0,0.0,0.01,0.01,0.0,0.0
paraboloid,C+N+D,500,14.128659725189209,0.020296800881624222,0.034747686237096786,0.01851947046816349,0.020222533494234085,1.2199788093566895,0.5115468502044678,2.998901605606079,0.4453757703304291,0.2941950857639313,0.32696324586868286,0.2353297621011734,0.44452476501464844,4.2589826583862305,3.936502456665039,0.0,0.01,0.01,0.01,0.0,0.0
paraboloid,T+C+N+D,500,15.709822416305542,0.01823226734995842,0.03174931928515434,0.002536372048780322,0.0037590069696307182,1.254390835762024,0.532041072845459,3.1728460788726807,0.5201922059059143,0.280744343996048,0.3237704336643219,0.38453608751296997,1.1131306886672974,3.0909264087677,2.7273917198181152,1.0,0.01,0.01,0.01,0.0,0.0
paraboloid,F,500,13.197317600250244,0.0768272876739502,0.1559859961271286,0.25350967049598694,0.20158709585666656,0.8116945624351501,0.1417110115289688,6.05615758895874,0.9542725086212158,0.021561479195952415,0.044404543936252594,1.3687905073165894,1.4397650957107544,4.116364479064941,3.0118155479431152,0.0,0.0,0.0,0.0,1.0,0.0
paraboloid,T+F,500,15.003007411956787,0.0020980588160455227,0.002887388691306114,0.0030325569678097963,0.00272763567045331,0.8279643058776855,0.16451488435268402,8.485480308532715,2.0648467540740967,0.009249094873666763,0.025730911642313004,0.19997432827949524,0.4428099989891052,7.328070163726807,4.630716323852539,1.0,0.0,0.0,0.0,1.0,0.0
paraboloid,C+F,500,13.849345207214355,0.08738300949335098,0.16787831485271454,0.3073332905769348,0.23755688965320587,0.7164589166641235,0.16110756993293762,6.673340797424316,1.0572277307510376,0.021409258246421814,0.042379796504974365,1.7092074155807495,1.5328481197357178,4.766794681549072,3.0608479976654053,0.0,0.01,0.0,0.0,1.0,0.0
paraboloid,T+C+F,500,16.46018624305725,0.0023058168590068817,0.0025986558757722378,0.003211114788427949,0.0028610583394765854,0.7780356407165527,0.1489848494529724,8.774063110351562,2.1354548931121826,0.008739163167774677,0.02548329159617424,0.1960604339838028,0.4393618404865265,8.251680374145508,5.28818941116333,1.0,0.01,0.0,0.0,1.0,0.0
paraboloid,N+F,500,14.56193494796753,0.03839857876300812,0.09232936054468155,0.11462913453578949,0.10407021641731262,0.9417058825492859,0.14415691792964935,5.618696212768555,0.9534417986869812,0.02426663227379322,0.05669226869940758,0.8560137748718262,1.4028687477111816,3.8048458099365234,3.2967820167541504,0.0,0.0,0.01,0.0,1.0,0.0
paraboloid,T+N+F,500,16.076008319854736,0.0009424351155757904,0.003161470405757427,0.0022004966158419847,0.002652349416166544,0.8379349112510681,0.1709401160478592,8.452418327331543,2.0499019622802734,0.008528451435267925,0.025228561833500862,0.18921032547950745,0.4213411211967468,7.0436482429504395,4.44275426864624,1.0,0.0,0.01,0.0,1.0,0.0
paraboloid,C+N+F,500,14.409830808639526,0.044573526829481125,0.09657630324363708,0.14757463335990906,0.12635564804077148,0.8863480091094971,0.14576488733291626,5.894047737121582,1.0132094621658325,0.023918678984045982,0.05418342724442482,1.0072544813156128,1.5737440586090088,4.26535701751709,3.533146619796753,0.0,0.01,0.01,0.0,1.0,0.0
paraboloid,T+C+N+F,500,15.150469303131104,0.002424403792247176,0.0023719691671431065,0.0030865943990647793,0.002728899009525776,0.7831029891967773,0.14873887598514557,8.702829360961914,2.1263275146484375,0.008599136024713516,0.02540668100118637,0.19821184873580933,0.45691248774528503,7.936707496643066,5.024072647094727,1.0,0.01,0.01,0.0,1.0,0.0
paraboloid,D+F,500,12.969604969024658,0.0395362414419651,0.1042969673871994,0.09270933270454407,0.09328732639551163,1.1423429250717163,0.1548561453819275,4.4728193283081055,0.7428086996078491,0.025839347392320633,0.04774262383580208,0.9869681596755981,1.7062857151031494,2.938987970352173,2.8910024166107178,0.0,0.0,0.0,0.01,1.0,0.0
paraboloid,T+D+F,500,14.58074402809143,0.0031198079232126474,0.004213459324091673,0.0029239680152386427,0.003288383362814784,0.9944923520088196,0.18530917167663574,5.716562747955322,1.0594611167907715,0.017733516171574593,0.04655906558036804,0.14167089760303497,0.5457006692886353,2.6158721446990967,2.1849329471588135,1.0,0.0,0.0,0.01,1.0,0.0
paraboloid,C+D+F,500,13.420427799224854,0.0416252464056015,0.10575588792562485,0.10067538172006607,0.09579608589410782,1.0666576623916626,0.13506653904914856,4.614753246307373,0.7069069743156433,0.02552650310099125,0.047396041452884674,0.9425548315048218,1.566951870918274,2.9167239665985107,2.9008612632751465,0.0,0.01,0.0,0.01,1.0,0.0
paraboloid,T+C+D+F,500,15.011252641677856,0.0030513163655996323,0.0037593627348542213,0.00300613627769053,0.003208003006875515,0.9427058696746826,0.16527266800403595,5.841080665588379,1.0713796615600586,0.01741071045398712,0.045011747628450394,0.13803060352802277,0.5371071100234985,2.773160696029663,2.188326120376587,1.0,0.01,0.0,0.01,1.0,0.0
paraboloid,N+D+F,500,13.550243377685547,0.025517161935567856,0.07041565328836441,0.056826893240213394,0.058157891035079956,1.151198387145996,0.17917226254940033,4.655065059661865,0.8645516037940979,0.02597341686487198,0.05176321417093277,0.8952108025550842,1.8087540864944458,2.8023409843444824,2.985487222671509,0.0,0.0,0.01,0.01,1.0,0.0
paraboloid,T+N+D+F,500,15.12683367729187,0.0031016170978546143,0.00413410784676671,0.0028472570702433586,0.0031340704299509525,0.9926784038543701,0.18440966308116913,5.720613479614258,1.0651485919952393,0.017884474247694016,0.0470757782459259,0.13816940784454346,0.5313946008682251,2.6062443256378174,2.198326587677002,1.0,0.0,0.01,0.01,1.0,0.0
paraboloid,C+N+D+F,500,14.004745244979858,0.025883393362164497,0.06933189928531647,0.05830608308315277,0.05748751387000084,1.0872313976287842,0.16678990423679352,4.793859958648682,0.8542831540107727,0.025491274893283844,0.05247661843895912,0.8443315625190735,1.7699098587036133,2.8595430850982666,3.019109010696411,0.0,0.01,0.01,0.01,1.0,0.0
paraboloid,T+C+N+D+F,500,15.82137942314148,0.002673621289432049,0.0036714072339236736,0.00271215895190835,0.0030231226701289415,0.9489071369171143,0.1676740050315857,5.823589324951172,1.0646164417266846,0.01714402623474598,0.04535110667347908,0.12875601649284363,0.5062300562858582,2.727692127227783,2.188436508178711,1.0,0.01,0.01,0.01,1.0,0.0
paraboloid,K,500,22.50426983833313,0.010139302350580692,0.027026576921343803,0.0009723046678118408,0.0015949441585689783,1.1873303651809692,0.35933613777160645,4.533807754516602,0.8015528321266174,0.13934561610221863,0.21177548170089722,0.007165922783315182,0.012463042512536049,2.1707565784454346,1.9167510271072388,0.0,0.0,0.0,0.0,0.0,1.0
paraboloid,T+K,500,23.244046211242676,0.009004805237054825,0.024425581097602844,0.0009835216915234923,0.0017123965080827475,1.1807007789611816,0.3664935529232025,4.371969699859619,0.711055338382721,0.138863205909729,0.21259450912475586,0.008337021805346012,0.014869894832372665,2.0459578037261963,1.9974583387374878,1.0,0.0,0.0,0.0,0.0,1.0
paraboloid,C+K,500,24.247982501983643,0.010274389758706093,0.029802612960338593,0.0016439553583040833,0.0019420101307332516,1.153434157371521,0.33206993341445923,4.506528854370117,0.7629426121711731,0.14210206270217896,0.21384142339229584,0.010960927233099937,0.013248831033706665,2.222196578979492,1.9499417543411255,0.0,0.01,0.0,0.0,0.0,1.0
paraboloid,T+C+K,500,25.0760657787323,0.011331622488796711,0.021559787914156914,0.002123953541740775,0.0023385274689644575,1.157004952430725,0.3483673930168152,4.5067572593688965,0.7350116968154907,0.1338413804769516,0.20900306105613708,0.014169803820550442,0.014406837522983551,2.1329152584075928,1.9963774681091309,1.0,0.01,0.0,0.0,0.0,1.0
paraboloid,N+K,500,23.083884716033936,0.010559266433119774,0.027734559029340744,0.0017594622913748026,0.0021997096482664347,1.1892249584197998,0.3583008646965027,4.403514385223389,0.7454758286476135,0.14644885063171387,0.2180626094341278,0.01188867911696434,0.01478844415396452,2.2378780841827393,2.0097906589508057,0.0,0.0,0.01,0.0,0.0,1.0
paraboloid,T+N+K,500,23.824767112731934,0.010363457724452019,0.025502804666757584,0.0017854933394119143,0.0016925856471061707,1.1751611232757568,0.3613317012786865,4.349728584289551,0.7301132678985596,0.14187902212142944,0.21872179210186005,0.012705358676612377,0.014346452429890633,2.0447254180908203,1.974724292755127,1.0,0.0,0.01,0.0,0.0,1.0
paraboloid,C+N+K,500,26.716421604156494,0.010822140611708164,0.02778421901166439,0.0023184625897556543,0.0023651421070098877,1.149557113647461,0.33307185769081116,4.494802951812744,0.7685514092445374,0.14014402031898499,0.2146150916814804,0.01601170003414154,0.016545675694942474,2.3093597888946533,2.0466413497924805,0.0,0.01,0.01,0.0,0.0,1.0
paraboloid,T+C+N+K,500,26.692762851715088,0.009200776927173138,0.02584175579249859,0.0014047414297237992,0.0015485240146517754,1.1433261632919312,0.3398939371109009,4.51108455657959,0.7574640512466431,0.1304025501012802,0.2079710215330124,0.009923099540174007,0.012748061679303646,2.1450836658477783,1.995107889175415,1.0,0.01,0.01,0.0,0.0,1.0
paraboloid,D+K,500,23.574219226837158,0.01575317233800888,0.036104265600442886,0.0018146393122151494,0.002615812001749873,1.2939013242721558,0.46716591715812683,3.5310235023498535,0.5365766286849976,0.20947201550006866,0.27747514843940735,0.014330336824059486,0.023102065548300743,2.4829680919647217,2.247548818588257,0.0,0.0,0.0,0.01,0.0,1.0
paraboloid,T+D+K,500,24.117537260055542,0.015432764776051044,0.03323189541697502,0.0018834961811080575,0.002234074054285884,1.295625925064087,0.4720804691314697,3.605103015899658,0.5742170810699463,0.1978733092546463,0.2730278968811035,0.01296442374587059,0.016546720638871193,2.3145055770874023,2.1361358165740967,1.0,0.0,0.0,0.01,0.0,1.0
