D,K_pairs,surface,condition,seed,ae_loss,drift_loss,diff_loss,recon_per_dim,phase1_converged,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,MMD@1.0,survival@1.0
11,4,paraboloid,baseline,42,0.10824842005968094,0.031031867489218712,0.05738455802202225,0.005979393016208302,True,0.7483159637451172,1.6489360643469768,2.347446416717729,2.069860974503617,0.2413085252046585,0.7649999856948853
11,4,paraboloid,K(Phat),42,0.023423854261636734,0.014133941382169724,0.012631679885089397,0.005979393016208302,True,0.6012423706054687,1.4430082569951597,2.146807502297794,1.836732101617791,0.2217554897069931,0.7649999856948853
11,4,paraboloid,baseline,1042,0.05932947248220444,0.01096311118453741,0.03536431863903999,0.001304254105145281,True,1.233442987029876,2.2107069614955357,2.851268344455295,1.8146538643628123,0.20642462372779846,0.7199999690055847
11,4,paraboloid,K(Phat),1042,0.015276074409484863,0.0034672957845032215,0.012009663507342339,0.001304254105145281,True,1.1919830935684281,2.109922572544643,2.766230265299479,1.7590765245256186,0.2199605405330658,0.7199999690055847
11,4,paraboloid,baseline,2042,0.026076719164848328,0.007246415130794048,0.020879754796624184,0.0011636363342404366,True,1.513305970771828,2.9608643919557007,3.4372846275378186,1.8639774303892576,0.22527393698692322,0.7849999666213989
11,4,paraboloid,K(Phat),2042,0.00455834437161684,0.005456618964672089,0.009588643908500671,0.0011636363342404366,True,1.5212644644119033,2.8972224979610233,3.2622995558817673,1.6538579242808256,0.22597084939479828,0.7849999666213989
11,4,paraboloid,baseline,3042,0.026692859828472137,0.006460277363657951,0.06868001073598862,0.00120466160164638,True,1.0722265625,2.0625706548276157,2.816112953544463,2.0405533910425113,0.2519855499267578,0.7450000047683716
11,4,paraboloid,K(Phat),3042,0.011058613657951355,0.0015389720210805535,0.04325021058320999,0.00120466160164638,True,1.046903076171875,2.0086840753969937,2.7376829825791735,1.9135073510134897,0.25515812635421753,0.7450000047683716
11,4,paraboloid,baseline,4042,0.12991318106651306,0.01980644278228283,0.13194143772125244,0.0032473958351395345,True,1.2814456176757814,2.5448475932026957,3.0210621482447575,2.1709129268707215,0.24237766861915588,0.7599999904632568
11,4,paraboloid,K(Phat),4042,0.02099223993718624,0.00493781641125679,0.02263297140598297,0.0032473958351395345,True,1.0690914916992187,2.2386754633306145,2.586441843133224,1.5331638997067123,0.16331128776073456,0.7599999904632568
11,4,paraboloid,baseline,5042,0.04420086741447449,0.010436611250042915,0.06579460203647614,0.0028800049966031856,True,1.5183195495605468,2.781175839003696,3.4705084507761437,2.0904177290837453,0.2741478681564331,0.7649999856948853
11,4,paraboloid,K(Phat),5042,0.013274659402668476,0.0042999438010156155,0.009034143760800362,0.0028800049966031856,True,1.5019215393066405,2.725707515593498,3.3197408439287175,1.931635994173766,0.2685365080833435,0.7649999856948853
11,4,paraboloid,baseline,6042,0.01914331689476967,0.009328432381153107,0.02119622938334942,0.0007740777324546467,True,0.9129771423339844,1.812244175502232,2.0490229358411813,1.2504826089714696,0.10557325184345245,0.7299999594688416
11,4,paraboloid,K(Phat),6042,0.007526949048042297,0.004240375943481922,0.0063949874602258205,0.0007740777324546467,True,0.5666545104980468,1.2730348423549107,1.6877896034554258,1.6964790985259344,0.2325974851846695,0.7299999594688416
11,4,paraboloid,baseline,7042,0.11764933168888092,0.016082916408777237,0.10599574446678162,0.004604845900427212,True,1.1254780831648477,2.232912781418011,2.6875741996017157,1.9051376852478503,0.20999471843242645,0.7649999856948853
11,4,paraboloid,K(Phat),7042,0.014072490856051445,0.006439844612032175,0.019053708761930466,0.004604845900427212,True,1.0967871891194252,2.149962886687248,2.6089826596328636,1.591955426547342,0.19137261807918549,0.7649999856948853
11,4,paraboloid,baseline,8042,0.05261771008372307,0.014940121211111546,0.34157606959342957,0.001501007005572319,True,0.9618470764160156,1.8945771886947307,2.1518032625786163,1.574070188318531,0.15138766169548035,0.7949999570846558
11,4,paraboloid,K(Phat),8042,0.011919275857508183,0.009055621922016144,0.04111546277999878,0.001501007005572319,True,0.8972101593017578,1.807905968199385,2.0338134765625,1.4300024830363796,0.13243047893047333,0.7949999570846558
11,4,paraboloid,baseline,9042,0.04365641623735428,0.0030615744180977345,0.08753401786088943,0.0010564854707230222,True,0.6398921585083008,1.3750978063364498,2.234409733822471,1.8580418444156501,0.2337796539068222,0.7599999904632568
11,4,paraboloid,K(Phat),9042,0.017337772995233536,0.004469463601708412,0.011080018244683743,0.0010564854707230222,True,0.5678976440429687,1.2188810754994877,2.004223472193668,1.6882452814877051,0.20032835006713867,0.7599999904632568
11,4,hyperbolic_paraboloid,baseline,42,0.016974546015262604,0.009092042222619057,0.014862561598420143,0.0009714028036052531,True,1.0770681762695313,2.6024244557256284,3.2737007889093137,2.112275262968624,0.27681392431259155,0.7649999856948853
11,4,hyperbolic_paraboloid,K(Phat),42,0.006936535704880953,0.003775577526539564,0.005697057582437992,0.0009714028036052531,True,1.032041015625,2.479687566342561,3.0089314778645835,1.7132304506525808,0.19844654202461243,0.7649999856948853
11,4,hyperbolic_paraboloid,baseline,1042,0.009696541354060173,0.007009531371295452,0.009415368549525738,0.0004942003552886573,True,1.1352965388465766,1.9344998604910715,2.496087816026476,1.2982184565668393,0.16868792474269867,0.7199999690055847
11,4,hyperbolic_paraboloid,K(Phat),1042,0.0017130612395703793,0.0046778577379882336,0.002580261090770364,0.0004942003552886573,True,1.141027402638191,1.9426332310267858,2.562831242879232,1.2980578705596826,0.16824282705783844,0.7199999690055847
11,4,hyperbolic_paraboloid,baseline,2042,0.022220395505428314,0.010484342463314533,0.019705919548869133,0.0012869875539432871,True,0.9624297942348461,2.2404355898008244,2.852005490831509,1.662004044602147,0.22416870296001434,0.7849999666213989
11,4,hyperbolic_paraboloid,K(Phat),2042,0.0019499361515045166,0.004267956595867872,0.005975124426186085,0.0012869875539432871,True,0.9432350043675408,2.261686555631868,2.8232357729772093,1.5088616717908283,0.1816507875919342,0.7849999666213989
11,4,hyperbolic_paraboloid,baseline,3042,0.03512117266654968,0.008549729362130165,0.05468421429395676,0.002051678570834073,True,1.1265872192382813,2.294079822042714,2.8425376943293834,1.3653696474470725,0.15421108901500702,0.7450000047683716
11,4,hyperbolic_paraboloid,K(Phat),3042,0.008736713789403439,0.004853413440287113,0.044922783970832825,0.002051678570834073,True,1.1428117370605468,2.331546285878057,3.0090172274800757,1.6887306381148568,0.18855339288711548,0.7450000047683716
11,4,hyperbolic_paraboloid,baseline,4042,0.014040613546967506,0.005091412458568811,0.01257944107055664,0.0006706473756242882,True,1.5132386779785156,2.7528399792346328,3.0044266550164473,1.467791875624638,0.18026739358901978,0.7599999904632568
11,4,hyperbolic_paraboloid,K(Phat),4042,0.005872802808880806,0.0032101355027407408,0.005912672728300095,0.0006706473756242882,True,1.5103472900390624,2.748269720391913,2.9674961692408512,1.324600412275424,0.16011381149291992,0.7599999904632568
11,4,hyperbolic_paraboloid,baseline,5042,0.01775338314473629,0.0044601247645914555,0.015220596455037594,0.0008625947785648433,True,1.4389122009277344,2.651940458564348,3.147122850605086,1.3386458541554136,0.14837002754211426,0.7649999856948853
11,4,hyperbolic_paraboloid,K(Phat),5042,0.007286754436790943,0.0027021486312150955,0.006765537429600954,0.0008625947785648433,True,1.4186654663085938,2.6078172909316195,3.098165674147263,1.3437417534735898,0.1366332769393921,0.7649999856948853
11,4,hyperbolic_paraboloid,baseline,6042,0.005005578976124525,0.007239404134452343,0.011357619427144527,8.317603814330968e-05,True,0.5650585174560547,1.1720607212611607,1.4973373413085938,1.4016996431160234,0.16062338650226593,0.7299999594688416
11,4,hyperbolic_paraboloid,K(Phat),6042,0.0046151471324265,0.003592784982174635,0.007566801737993956,8.317603814330968e-05,True,0.5590334701538086,1.1599735804966518,1.4744185356244648,1.360901639561378,0.15232457220554352,0.7299999594688416
11,4,hyperbolic_paraboloid,baseline,7042,0.04534324258565903,0.010602869093418121,0.0734085813164711,0.0028849758885123515,True,1.100943713930983,2.3610047371156755,2.645461936402165,1.271505689364096,0.12018217891454697,0.7649999856948853
11,4,hyperbolic_paraboloid,K(Phat),7042,0.005238532554358244,0.003894725814461708,0.01686382107436657,0.0028849758885123515,True,1.0965756363605135,2.380113991357947,2.6570302925857843,1.3982418570849007,0.1477629691362381,0.7649999856948853
11,4,hyperbolic_paraboloid,baseline,8042,0.022604677826166153,0.005321251694113016,0.0206631887704134,0.0009519945491443981,True,1.1260259246826172,2.1386670051737036,2.3837533626916274,1.3707574679972654,0.14740675687789917,0.7949999570846558
11,4,hyperbolic_paraboloid,K(Phat),8042,0.006308378651738167,0.0025485630612820387,0.0068025365471839905,0.0009519945491443981,True,1.1526216125488282,2.1662824914810503,2.3435089303262577,1.2268091485644343,0.11992549151182175,0.7949999570846558
11,4,hyperbolic_paraboloid,baseline,9042,0.019947487860918045,0.006382548715919256,0.02046525850892067,0.0002987419720739126,True,0.4990624237060547,1.0906255336407105,1.5146797581722862,1.2787959160654203,0.110017791390419,0.7599999904632568
11,4,hyperbolic_paraboloid,K(Phat),9042,0.00556386960670352,0.005410311743617058,0.009648087434470654,0.0002987419720739126,True,0.48577228546142576,1.0835371173796107,1.4825402310020046,1.3271379868577617,0.10889492928981781,0.7599999904632568
51,24,paraboloid,baseline,42,0.2687380611896515,0.0025527626276016235,0.004548548720777035,0.00340079384691575,True,0.9987492370605469,2.188266256581182,3.168393203635621,2.2621016003489123,0.21852318942546844,0.7649999856948853
51,24,paraboloid,K(Phat),42,0.03768400847911835,0.0021017047110944986,0.0011551306815817952,0.00340079384691575,True,0.9488752746582031,2.256448165230129,3.1837505265778185,2.277688958848025,0.22479240596294403,0.7649999856948853
51,24,paraboloid,baseline,1042,0.10282979160547256,0.002038027858361602,0.0038834288716316223,0.0016443460595374014,True,0.8206961933691898,1.5763661411830356,2.3130649990505643,2.1899138134678453,0.21454280614852905,0.7199999690055847
51,24,paraboloid,K(Phat),1042,0.023622389882802963,0.0009917450370267034,0.0007963662501424551,0.0016443460595374014,True,0.6901156171482412,1.5207231794084821,2.367910385131836,2.247775757186708,0.24384063482284546,0.7199999690055847
51,24,paraboloid,baseline,2042,0.06555885076522827,0.0025162892416119576,0.0024201597552746534,0.0007299708531183354,True,1.1202861076623352,2.598292424128606,3.1898150595889727,1.9398760183230215,0.17710648477077484,0.7849999666213989
51,24,paraboloid,K(Phat),2042,0.015101302415132523,0.0013154426123946905,0.0005317408358678222,0.0007299708531183354,True,1.109982207791889,2.5189752264337226,3.100417993630573,1.7202455844370181,0.16747726500034332,0.7849999666213989
51,24,paraboloid,baseline,3042,0.13436976075172424,0.001441019936464727,0.0033472971990704536,0.0013691530215973948,True,1.620711669921875,2.9198751034943955,3.575750363753146,1.9397288629154505,0.2536022961139679,0.7450000047683716
51,24,paraboloid,K(Phat),3042,0.025994976982474327,0.0007376216817647219,0.0005741141503676772,0.0013691530215973948,True,1.58919189453125,2.8743677553923233,3.5662227348993287,1.8310622009019413,0.23387041687965393,0.7450000047683716
51,24,paraboloid,baseline,4042,0.07326658070087433,0.0022303368896245956,0.008751258254051208,0.0007465457653298098,True,0.9223138427734375,1.847170651614011,2.095992238898026,1.8589705675004897,0.17981384694576263,0.7599999904632568
51,24,paraboloid,K(Phat),4042,0.013368566520512104,0.0004925075336359441,0.0015398344257846475,0.0007465457653298098,True,0.8832637786865234,1.84926026732057,2.169416728772615,1.773706716343841,0.19271373748779297,0.7599999904632568
51,24,paraboloid,baseline,5042,0.08272399008274078,0.0017905875574797392,0.0029170787893235683,0.0006640556396222582,True,1.1580662536621094,2.223685808079217,2.8240302590762867,2.1093109797299516,0.22014907002449036,0.7649999856948853
51,24,paraboloid,K(Phat),5042,0.025733741000294685,0.0006863410817459226,0.0008471347391605377,0.0006640556396222582,True,1.1658055114746093,2.2152713242397515,2.7515362508935866,1.9169418076565425,0.2176225781440735,0.7649999856948853
51,24,paraboloid,baseline,6042,0.047057218849658966,0.0014106063172221184,0.0011405724799260497,0.0005013028926709119,True,1.050997543334961,2.1109926060267856,2.7594934750909674,1.8769775541029319,0.246000736951828,0.7299999594688416
51,24,paraboloid,K(Phat),6042,0.009496099315583706,0.0006432351656258106,0.00022788860951550305,0.0005013028926709119,True,1.050757827758789,2.1164794921875,2.757628558433219,1.7631191532792734,0.24074049293994904,0.7299999594688416
51,24,paraboloid,baseline,7042,0.14287984371185303,0.0039716665633022785,0.010661016218364239,0.002734824430708792,True,1.6454584322982098,3.078854796706989,3.7426019805708743,2.5373370594405835,0.26839107275009155,0.7649999856948853
51,24,paraboloid,K(Phat),7042,0.037894364446401596,0.0017555233789607882,0.0013273688964545727,0.002734824430708792,True,1.644328515134265,2.956345753003192,3.479067334941789,2.094572940719349,0.24235036969184875,0.7649999856948853
51,24,paraboloid,baseline,8042,0.09136933833360672,0.0005242886836640537,0.019592957571148872,0.0016583452622095745,True,1.4439736938476562,2.4815203078249666,2.8892833781692215,2.1893400554610403,0.18397903442382812,0.7949999570846558
51,24,paraboloid,K(Phat),8042,0.02267283760011196,0.0015982055338099599,0.0025813193060457706,0.0016583452622095745,True,1.419345703125,2.6688152881378824,2.917579123059159,1.5834490465353117,0.15348893404006958,0.7949999570846558
51,24,paraboloid,baseline,9042,0.043128203600645065,0.0020205173641443253,0.006216464098542929,0.00036648427154503617,True,0.9349790954589844,1.7728388218280395,2.411250265021073,1.8916496036501838,0.1627742499113083,0.7599999904632568
51,24,paraboloid,K(Phat),9042,0.023567145690321922,0.0007297416450455785,0.0013205965515226126,0.00036648427154503617,True,0.5953199768066406,1.2348569442665642,1.9102855481599506,1.7215919592218147,0.18251466751098633,0.7599999904632568
51,24,hyperbolic_paraboloid,baseline,42,0.06481214612722397,0.0030993062537163496,0.004266485571861267,0.0009331211593805574,True,1.1026813507080078,2.5705151765242866,3.4629289215686274,2.6771714036852345,0.2673129141330719,0.7649999856948853
51,24,hyperbolic_paraboloid,K(Phat),42,0.014387323521077633,0.0011326589155942202,0.0033146548084914684,0.0009331211593805574,True,0.9884286499023438,2.4326991205630093,3.151489457273795,1.9282974174691512,0.18492391705513,0.7649999856948853
51,24,hyperbolic_paraboloid,baseline,1042,0.04183654114603996,0.0010320277651771903,0.0013895652955397964,0.0006132122202246797,True,0.9243064381968435,1.7243205915178572,2.2949280209011502,1.7757583651513396,0.1835469901561737,0.7199999690055847
51,24,hyperbolic_paraboloid,K(Phat),1042,0.018824830651283264,0.000709179206751287,0.0003765772271435708,0.0006132122202246797,True,0.6152909628709956,1.2871460832868304,1.8564101325141058,1.636131676302395,0.17530283331871033,0.7199999690055847
51,24,hyperbolic_paraboloid,baseline,2042,0.04839617758989334,0.0010887092212215066,0.0014937459491193295,0.00043271069287085064,True,1.0340497194223068,2.442938668387277,2.9011440398586785,1.6956924754803593,0.1576717495918274,0.7849999666213989
51,24,hyperbolic_paraboloid,K(Phat),2042,0.005561636760830879,0.0010052002035081387,0.000861470412928611,0.00043271069287085064,True,0.9983222232991128,2.411294455056662,2.8899932666948644,1.5979329491101677,0.14455516636371613,0.7849999666213989
51,24,hyperbolic_paraboloid,baseline,3042,0.07189227640628815,0.0013056945754215121,0.005730238277465105,0.0010375349106741887,True,1.1710025787353515,2.2538287950598677,3.0476834085963715,2.012405411262995,0.21371887624263763,0.7450000047683716
51,24,hyperbolic_paraboloid,K(Phat),3042,0.016026541590690613,0.001255153794772923,0.0035041591618210077,0.0010375349106741887,True,1.0984059143066407,2.0753850522248642,2.7110560884411705,1.2365887712639099,0.12708310782909393,0.7450000047683716
51,24,hyperbolic_paraboloid,baseline,4042,0.06352965533733368,0.0006382268620654941,0.0016104546375572681,0.000582962059507183,True,0.6025819778442383,1.3598414829799108,1.7856501529091282,1.4536041193923677,0.16004791855812073,0.7599999904632568
51,24,hyperbolic_paraboloid,K(Phat),4042,0.019609153270721436,0.00032401320640929043,0.00044722144957631826,0.000582962059507183,True,0.5489684295654297,1.3163759839403761,1.754235920153166,1.4100000404179083,0.15696552395820618,0.7599999904632568
51,24,hyperbolic_paraboloid,baseline,5042,0.07284804433584213,0.0011522396234795451,0.0015030400827527046,0.0005701926043804954,True,1.1251646423339843,2.1837574948546705,2.807217666526246,1.6942946240665022,0.1640806645154953,0.7649999856948853
51,24,hyperbolic_paraboloid,K(Phat),5042,0.029268834739923477,0.0007484494126401842,0.0006976870936341584,0.0005701926043804954,True,1.1054879760742187,2.204342749810988,2.8391560074550655,1.6694626270766286,0.16186431050300598,0.7649999856948853
51,24,hyperbolic_paraboloid,baseline,6042,0.0490524098277092,0.0011421146336942911,0.001982141751796007,0.00045029205434462605,True,0.6237110519409179,1.307432599748884,1.7607125060199058,1.7941507663302905,0.19004054367542267,0.7299999594688416
51,24,hyperbolic_paraboloid,K(Phat),6042,0.02737273834645748,0.0009499883744865656,0.0012739751255139709,0.00045029205434462605,True,0.6202059173583985,1.294962855747768,1.7407150268554688,1.6494443730720312,0.1884145587682724,0.7299999594688416
51,24,hyperbolic_paraboloid,baseline,7042,0.06036046892404556,0.0016772442031651735,0.003033621469512582,0.0007319404360126046,True,1.1838819800908842,2.226854057722194,2.8987235274969363,1.8015478378030616,0.20095902681350708,0.7649999856948853
51,24,hyperbolic_paraboloid,K(Phat),7042,0.016100304201245308,0.0016027427045628428,0.0008312651189044118,0.0007319404360126046,True,1.1600988953556848,2.1936883413663475,2.885013156467014,1.518756190564682,0.16667135059833527,0.7649999856948853
51,24,hyperbolic_paraboloid,baseline,8042,0.050760820508003235,0.00034433809923939407,0.001751820556819439,0.000553691175346281,True,1.264495849609375,2.2901377576462765,2.463402514187795,1.3508561882374979,0.12066130340099335,0.7949999570846558
51,24,hyperbolic_paraboloid,K(Phat),8042,0.03554621711373329,0.00045527471229434013,0.0006229683058336377,0.000553691175346281,True,1.2240592193603517,2.3293919664748173,2.5380820988109276,1.3739174762385518,0.12181565165519714,0.7949999570846558
51,24,hyperbolic_paraboloid,baseline,9042,0.05140748620033264,0.001506245695054531,0.0015408216277137399,0.00037914507237135197,True,0.5589458465576171,1.1432121568690232,1.6915624518143504,1.637361936201176,0.15146756172180176,0.7599999904632568
51,24,hyperbolic_paraboloid,K(Phat),9042,0.01791025698184967,0.0008402580278925598,0.0005660458118654788,0.00037914507237135197,True,0.5275835037231446,1.1167503315242913,1.6446806255139803,1.4933522573798461,0.12078621983528137,0.7599999904632568
